relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
is less than,2,is less than,3,,,,1,less than,3,yes,250,-250,37
is less than,2,is less than,3,,,,3,less than,1,no,250,-250,37
is less than,2,is less than,3,,,,2,less than,3,yes,250,-250,37
is less than,2,is less than,3,,,,3,less than,2,no,250,-250,37
is less than,2,is less than,3,,,,2,less than,1,no,250,-250,37
is less than,2,is less than,3,,,,1,less than,2,yes,250,-250,37
is less than,2,is less than,3,,,,1,less than,3,yes,-250,250,37
is less than,2,is less than,3,,,,3,less than,1,no,-250,250,37
is less than,2,is less than,3,,,,2,less than,3,yes,-250,250,37
is less than,2,is less than,3,,,,3,less than,2,no,-250,250,37
is less than,2,is less than,3,,,,2,less than,1,no,-250,250,37
is less than,2,is less than,3,,,,1,less than,2,yes,-250,250,37
