relation_1,meta_relation_1,relation_2,meta_stim_1_id,meta_relation_2,meta_stim_2_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,stage,yes_x_coord,no_x_coord,q_word
+,is the same as,+,1,is less than,3,2,less than,4,no,108,250,-250,Is
+,is the same as,+,2,is less than,4,1,less than,3,no,108,250,-250,Is
+,is less than,+,1,is the same as,3,2,less than,4,yes,108,250,-250,Is
+,is less than,+,2,is the same as,4,1,less than,3,yes,108,250,-250,Is
+,is the same as,+,1,is less than,3,2,less than,4,no,108,-250,250,Is
+,is the same as,+,2,is less than,4,1,less than,3,no,108,-250,250,Is
+,is less than,+,1,is the same as,3,2,less than,4,yes,108,-250,250,Is
+,is less than,+,2,is the same as,4,1,less than,3,yes,108,-250,250,Is
